id,keywords,pub_date,web_url,document_type,news_desk,section_name,subsection_name,type_of_material
nyt://article/36a62c52-cba3-5ba1-ab08-4d93ec06ea46,"[('persons', 'Charles, Don Hogan'), ('subject', 'Photography'), ('subject', 'Civil Rights Movement (1954-68)'), ('organizations', 'New York Times'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Deaths (Obituaries)')]",2017-12-26T00:30:14+0000,https://www.nytimes.com/2017/12/25/obituaries/don-hogan-charles-dead.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/d22a147a-366e-5a07-8d11-7e74621415e9,"[('persons', 'Agee, William (1938-2017)'), ('organizations', 'Bendix Corp'), ('persons', 'Agee, Mary Cunningham'), ('subject', 'Executives and Management (Theory)'), ('subject', 'Deaths (Obituaries)')]",2017-12-25T21:04:29+0000,https://www.nytimes.com/2017/12/25/obituaries/william-agee-mary-cunningham.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/c0ccc2bc-bca3-5fdb-9c4e-e461a93e7636,"[('persons', 'Hershkowitz, Yehoshua Zvi (1925-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Philanthropy'), ('subject', 'Jews and Judaism'), ('subject', 'Food'), ('glocations', 'Brooklyn (NYC)')]",2017-12-28T22:11:49+0000,https://www.nytimes.com/2017/12/28/obituaries/yehoshua-hershkowitz-dies-founded-kosher-meal-program.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/17e91fcb-212c-5f4a-a26b-ba43772f8510,"[('persons', 'Griesa, Thomas P'), ('subject', 'Courts and the Judiciary'), ('subject', 'Roads and Traffic'), ('glocations', 'Manhattan (NYC)'), ('subject', 'Decisions and Verdicts'), ('subject', 'Suits and Litigation (Civil)'), ('glocations', 'Times Square and 42nd Street (Manhattan, NY)'), ('subject', 'Deaths (Obituaries)')]",2017-12-26T19:40:23+0000,https://www.nytimes.com/2017/12/26/obituaries/thomas-p-griesa-dead-judge-in-westway-dispute.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/6aa45116-5837-5c61-8c77-d508b6a2cda8,"[('persons', 'Barres, Ben A'), ('subject', 'Deaths (Obituaries)'), ('organizations', 'Stanford University'), ('subject', 'Brain'), ('subject', 'Transgender and Transsexuals')]",2017-12-29T19:00:20+0000,https://www.nytimes.com/2017/12/29/obituaries/ben-barres-dead-neuroscientist-and-equal-opportunity-advocate.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/731ae95a-eca5-5104-bea8-81e73839e274,"[('persons', 'Roginsky, Arseny (1946-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Human Rights and Human Rights Violations'), ('organizations', 'Memorial'), ('glocations', 'Russia')]",2017-12-23T21:20:35+0000,https://www.nytimes.com/2017/12/23/obituaries/arseny-roginsky-russian-human-rights-leader-is-dead-at-71.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/b1ce2e0f-f6a3-521c-a943-4a512b06ad24,"[('persons', 'Carney, Ralph (1956-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Music'), ('organizations', 'Black Keys (Music Group)')]",2017-12-27T21:17:02+0000,https://www.nytimes.com/2017/12/27/obituaries/ralph-carney-saxophonist-for-tom-waits-and-many-others-dies-at-61.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/e9a8c809-29fb-574f-be57-13c9256c84a8,"[('persons', 'Yamamoto, Kenichi'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Automobiles'), ('organizations', 'Mazda Motor Corp'), ('subject', 'Small Cars (Compact, Subcompact and Microcars)')]",2017-12-29T23:32:39+0000,https://www.nytimes.com/2017/12/29/obituaries/kenichi-yamamoto-dead-father-of-mazda-rotary-engine.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/1d64b14a-7192-5231-9361-0be07644f419,"[('persons', 'Puccini, Simonetta'), ('persons', 'Puccini, Giacomo'), ('subject', 'Opera'), ('subject', 'Genealogy'), ('subject', 'Deaths (Obituaries)')]",2017-12-26T22:40:23+0000,https://www.nytimes.com/2017/12/26/obituaries/simonetta-puccini-keeper-of-the-composers-flame-dies-at-89.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/6f6ec591-3dd9-5618-af79-85057330c2d9,"[('persons', ""Z'ev (1951-2017)""), ('subject', 'Music'), ('subject', 'Deaths (Obituaries)')]",2017-12-26T23:16:00+0000,https://www.nytimes.com/2017/12/26/obituaries/zev-percussionist-and-industrial-music-pioneer-dies-at-66.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/52b2577c-8ff8-580c-a9cc-76bbd4ca3d76,"[('persons', 'Yellin, Jerry (1924-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'World War II (1939-45)'), ('subject', 'Pilots'), ('subject', 'Post-Traumatic Stress Disorder')]",2017-12-24T20:40:17+0000,https://www.nytimes.com/2017/12/24/obituaries/jerry-yellin-93-dies-flew-the-last-world-war-ii-combat-mission.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/fd17565b-9f4a-5ac4-bb13-d71d613410b0,"[('persons', 'Harris, Larry A (1947-2017)'), ('subject', 'Deaths (Obituaries)'), ('organizations', 'Casablanca Records'), ('subject', 'Pop and Rock Music')]",2017-12-28T21:37:16+0000,https://www.nytimes.com/2017/12/28/obituaries/larry-harris-dead-casablanca-records.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/9361abd9-eb75-5916-9bcc-6275e03021ae,"[('persons', 'Rowny, Edward L'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Arms Control and Limitation and Disarmament'), ('subject', 'Defense and Military Forces')]",2017-12-21T23:28:30+0000,https://www.nytimes.com/2017/12/21/obituaries/edward-rowny-outspoken-treaty-negotiator-dies-at-100.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/f20b08aa-9b89-58ed-ac28-520456745a84,"[('persons', 'Enberg, Dick'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Athletics and Sports'), ('subject', 'Television'), ('subject', 'Baseball'), ('subject', 'Basketball'), ('subject', 'Football (College)'), ('subject', 'Tennis'), ('organizations', 'CBS Corporation'), ('organizations', 'National Broadcasting Co')]",2017-12-22T19:13:22+0000,https://www.nytimes.com/2017/12/22/obituaries/dick-enberg-veteran-sportscaster-is-dead-at-82.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/cede7625-bb19-59ab-af40-c6d51b6d5b72,"[('persons', 'Benshoof, Janet'), ('subject', 'Abortion'), ('subject', ""Women's Rights""), ('subject', 'Roe v Wade (Supreme Court Decision)'), ('organizations', 'American Civil Liberties Union'), ('subject', 'Legal Profession'), ('subject', 'Deaths (Obituaries)')]",2017-12-21T23:15:21+0000,https://www.nytimes.com/2017/12/21/obituaries/janet-benshoof-dead-lawyer-and-abortion-rights-advocate.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/0f293e31-351e-5fd5-b7e3-29e112555d45,"[('persons', 'Elder, Janet'), ('subject', 'News and News Media'), ('organizations', 'New York Times'), ('subject', 'Deaths (Obituaries)')]",2017-12-21T17:25:23+0000,https://www.nytimes.com/2017/12/21/obituaries/janet-elder-a-top-editor-at-the-times-is-dead-at-61.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/b8418113-25b6-53ba-a2f9-ba0fe9e90695,"[('persons', 'Bower, Johnny (1924-2017)'), ('subject', 'Hockey, Ice'), ('organizations', 'Toronto Maple Leafs'), ('subject', 'Deaths (Obituaries)')]",2017-12-27T02:43:41+0000,https://www.nytimes.com/2017/12/26/sports/hockey/johnny-bower-dead-hockey-goalie.html,article,Obits,Sports,Hockey,Obituary (Obit)
nyt://article/bcd4e405-97fe-5700-8269-b62dfdbab4be,"[('persons', 'Adler, Lou (1929-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'News and News Media'), ('subject', 'Radio'), ('organizations', 'WCBS-AM')]",2017-12-24T22:05:24+0000,https://www.nytimes.com/2017/12/24/obituaries/lou-adler-dead.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/1cd262a5-b081-55a1-8084-60dff32bd96e,"[('persons', 'Irving, Clifford'), ('persons', 'Hughes, Howard (1905-76)'), ('subject', 'Hoaxes and Pranks'), ('subject', 'Writing and Writers'), ('subject', 'Deaths (Obituaries)')]",2017-12-20T23:59:32+0000,https://www.nytimes.com/2017/12/20/obituaries/clifford-irving-author-of-a-notorious-literary-hoax-dies-at-87.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/4bc287eb-ac7e-5b4d-854c-4d7dec1a9380,"[('persons', 'McCandless, Bruce'), ('subject', 'Deaths (Obituaries)'), ('organizations', 'National Aeronautics and Space Administration'), ('subject', 'Space and Astronomy'), ('subject', 'Challenger (Space Shuttle)')]",2017-12-23T05:13:35+0000,https://www.nytimes.com/2017/12/23/obituaries/bruce-mccandless-dead-astronaut.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/eacc9507-04c5-5773-a86a-835ada5a2f95,"[('persons', 'Yu Guangzhong (1928-2017)'), ('subject', 'Poetry and Poets'), ('glocations', 'China'), ('subject', 'Deaths (Obituaries)')]",2017-12-20T21:43:23+0000,https://www.nytimes.com/2017/12/20/obituaries/yu-guangzhong-exiled-poet-who-longed-for-china-dies-at-89.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/6a45e08b-b19f-5f86-b5b1-93695f0ef926,"[('persons', 'Le, Hiep Thi (1971-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Movies'), ('creative_works', 'Heaven and Earth (Movie)'), ('persons', 'Stone, Oliver'), ('subject', 'Vietnamese-Americans'), ('glocations', 'Vietnam'), ('subject', 'Actors and Actresses')]",2017-12-23T21:44:30+0000,https://www.nytimes.com/2017/12/23/obituaries/hiep-thi-le-vietnamese-refugee-who-became-film-star-dies-at-46.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/b4230174-dfff-5471-a40f-d3d3e6667cc6,"[('persons', 'Mahogany, Kevin'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Jazz')]",2017-12-19T22:23:12+0000,https://www.nytimes.com/2017/12/19/obituaries/kevin-mahogany-masterly-jazz-singer-is-dead-at-59.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/25ea36c4-3ee6-56d7-abed-6edcb8ec22e4,"[('persons', 'Johnson, Mamie'), ('organizations', 'Negro League'), ('subject', 'Baseball'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Deaths (Obituaries)')]",2017-12-21T00:22:46+0000,https://www.nytimes.com/2017/12/20/obituaries/mamie-johnson-trailblazer-in-the-negro-leagues-dies-at-82.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/93dfe113-ff71-5b15-82c3-9fc061798b15,"[('persons', 'Straus, Diane (1951-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Magazines'), ('subject', 'Platform Tennis'), ('subject', 'Philanthropy'), ('organizations', 'American Prospect, The (Magazine)'), ('organizations', 'Washington Monthly')]",2017-12-23T00:11:48+0000,https://www.nytimes.com/2017/12/22/obituaries/diane-straus-publisher-of-liberal-policy-magazines-dies-at-66.html,article,Obits,Obituaries,,Obituary (Obit)
